user_id,latitude,longitude,edge_node_id,request_rate,avg_data_size_kb,avg_compute_cost
user_0447,-37.814213,144.972555,134360,0.757,207.96,0.381
user_0448,-37.812221,144.964374,134329,1.703,97.33,0.668
user_0449,-37.81628,144.963789,9014989,1.972,120.88,0.269
user_0450,-37.812165,144.968899,130439,0.887,137.39,0.68
user_0451,-37.811686,144.958014,101373,1.67,206.12,0.183
user_0452,-37.813205,144.964275,51718,0.65,165.94,0.624
user_0453,-37.813146,144.957496,135390,1.198,30.75,0.608
user_0454,-37.809024,144.965575,301896,1.732,76.55,0.558
user_0455,-37.814125,144.967294,135330,0.691,232.23,0.188
user_0456,-37.814364,144.957509,135390,0.987,242.55,0.233
user_0457,-37.816307,144.956411,11591,1.012,92.75,0.116
user_0458,-37.810298,144.961332,301895,0.296,131.0,0.241
user_0459,-37.814804,144.968822,301388,1.99,99.1,0.117
user_0460,-37.809902,144.968101,101381,1.875,215.63,0.49
user_0461,-37.811,144.962,134454,1.624,39.54,0.272
user_0462,-37.814066,144.965739,135330,1.694,179.71,0.183
user_0463,-37.819963,144.957446,134872,1.47,117.6,0.103
user_0464,-37.810335,144.964919,301896,0.343,69.24,0.601
user_0465,-37.812586,144.973468,134733,1.188,187.54,0.417
user_0466,-37.811979,144.959062,9009845,0.4,77.31,0.281
user_0467,-37.815258,144.963287,135009,0.286,110.38,0.576
user_0468,-37.815399,144.953011,10003027,1.023,32.83,0.643
user_0469,-37.820177,144.957405,134872,1.274,9.13,0.409
user_0470,-37.818375,144.959945,11601,0.635,41.04,0.358
user_0471,-37.816386,144.955571,11591,1.307,65.38,0.35
user_0472,-37.813265,144.958167,135390,1.396,26.49,0.685
user_0473,-37.813757,144.962142,303712,0.322,137.04,0.404
user_0474,-37.812591,144.956356,42987,1.979,144.09,0.334
user_0475,-37.814853,144.968247,303676,1.046,164.55,0.689
user_0476,-37.812748,144.967146,134565,0.657,9.08,0.573
user_0477,-37.808253,144.970685,461423,0.821,188.97,0.477
user_0478,-37.816745,144.967653,301645,1.589,189.53,0.3
user_0479,-37.8159,144.965,301382,0.28,142.05,0.588
user_0480,-37.813273,144.961867,9013096,0.515,200.56,0.379
user_0481,-37.816753,144.959617,34603,1.452,163.57,0.587
user_0482,-37.811698,144.959575,9009845,0.314,199.82,0.375
user_0483,-37.816089,144.955399,11591,0.728,16.0,0.22
user_0484,-37.814667,144.972612,134360,0.275,239.28,0.409
user_0485,-37.8181,144.962,11600,1.98,141.3,0.252
user_0486,-37.811541,144.965857,301361,1.556,52.97,0.314
user_0487,-37.811216,144.967489,134754,1.606,222.32,0.299
user_0488,-37.815229,144.974171,304744,0.424,97.37,0.634
user_0489,-37.813537,144.959347,130005,1.538,229.55,0.332
user_0490,-37.81208,144.960998,9013096,1.953,129.55,0.399
user_0491,-37.812054,144.968348,130439,1.864,135.34,0.581
user_0492,-37.815418,144.958595,9014611,1.509,24.81,0.461
user_0493,-37.812937,144.955576,101636,1.68,141.91,0.293
user_0494,-37.816632,144.962239,303652,0.344,170.89,0.284
user_0495,-37.814267,144.971492,51576,1.285,111.96,0.514
user_0496,-37.813519,144.96334,303712,0.833,15.63,0.622
user_0497,-37.811783,144.966711,134754,0.835,255.54,0.265
user_0498,-37.814582,144.973453,305394,1.964,242.92,0.145
user_0499,-37.811359,144.960533,9009845,1.348,96.19,0.581
user_0500,-37.811868,144.964194,302517,1.423,244.15,0.186
user_0501,-37.819106,144.956194,134547,1.294,201.11,0.121
user_0502,-37.814673,144.953089,10003027,0.321,200.41,0.32
user_0503,-37.812814,144.955133,101636,0.889,147.38,0.463
user_0504,-37.819734,144.955929,304363,1.422,243.15,0.323
user_0505,-37.810759,144.968921,9009843,1.574,149.05,0.418
user_0506,-37.81443,144.961954,134822,0.916,168.04,0.25
user_0507,-37.809593,144.964778,301896,0.404,189.65,0.399
user_0508,-37.819832,144.958888,53003,0.897,145.98,0.257
user_0509,-37.812876,144.960463,134680,0.669,117.01,0.698
user_0510,-37.811824,144.958415,101373,0.714,235.04,0.395
user_0511,-37.813471,144.959948,130005,0.421,219.06,0.371
user_0512,-37.810497,144.963776,50151,1.818,116.72,0.153
user_0513,-37.813342,144.961677,9013096,1.427,217.23,0.292
user_0514,-37.815287,144.965238,301382,0.825,21.3,0.425
user_0515,-37.816459,144.962978,44101,1.804,218.69,0.527
user_0516,-37.816183,144.970576,9002262,1.869,165.06,0.576
user_0517,-37.817911,144.955322,301205,1.116,35.46,0.221
user_0518,-37.810852,144.962695,49873,0.45,203.38,0.116
user_0519,-37.812383,144.957466,302516,1.197,97.6,0.582
user_0520,-37.813249,144.964402,51718,1.193,158.6,0.152
user_0521,-37.812896,144.953545,9026103,0.757,255.9,0.531
user_0522,-37.812548,144.961893,9013096,1.146,198.06,0.594
user_0523,-37.813637,144.958285,135390,0.333,249.07,0.485
user_0524,-37.817283,144.967134,301645,1.01,175.71,0.307
user_0525,-37.814557,144.957596,135390,1.78,200.85,0.484
user_0526,-37.8144,144.956556,135390,0.528,247.53,0.36
user_0527,-37.814839,144.974325,304744,1.839,18.91,0.174
user_0528,-37.810901,144.970838,49630,0.475,46.33,0.294
user_0529,-37.812746,144.96763,134565,1.477,91.85,0.665
user_0530,-37.811542,144.968525,130439,1.811,217.33,0.25
user_0531,-37.810842,144.970987,49630,1.343,143.26,0.175
user_0532,-37.815225,144.967789,301386,0.745,138.9,0.402
user_0533,-37.820449,144.956195,304363,0.504,241.34,0.193
user_0534,-37.816424,144.969175,10004167,1.386,185.88,0.463
user_0535,-37.81569,144.971271,9002262,1.717,146.47,0.595
user_0536,-37.81933,144.959401,134923,0.251,16.41,0.485
user_0537,-37.813505,144.960248,130005,1.238,168.43,0.56
user_0538,-37.817384,144.964604,301208,0.95,165.39,0.399
user_0539,-37.817726,144.962654,134554,1.329,77.71,0.674
user_0540,-37.81629,144.968982,10004167,1.069,206.98,0.511
user_0541,-37.814172,144.970478,51576,0.735,23.32,0.136
user_0542,-37.808856,144.970618,461423,0.991,126.55,0.222
user_0543,-37.817293,144.959381,134449,1.292,83.46,0.531
user_0544,-37.813174,144.966525,301383,1.522,221.06,0.685
user_0545,-37.819088,144.959538,134923,0.435,98.01,0.437
user_0546,-37.816272,144.957211,135306,0.774,122.08,0.26
user_0547,-37.820101,144.958046,134872,0.646,29.3,0.274
user_0548,-37.8168,144.966,301645,0.891,159.46,0.249
user_0549,-37.813314,144.959087,130005,1.758,45.08,0.296
user_0550,-37.807982,144.969873,101381,1.24,83.49,0.558
user_0551,-37.813839,144.95239,9026103,1.097,134.2,0.399
user_0552,-37.812323,144.966087,135253,0.755,10.82,0.667
user_0553,-37.813528,144.97137,302571,1.11,247.64,0.229
user_0554,-37.81612,144.953749,9001289,0.835,17.69,0.397
user_0555,-37.814131,144.969106,301388,1.788,169.22,0.382
user_0556,-37.817866,144.95828,134245,1.166,217.64,0.359
user_0557,-37.814355,144.972059,134360,1.788,187.6,0.558
user_0558,-37.811991,144.968146,130439,0.859,105.55,0.442
user_0559,-37.811556,144.968267,130439,0.55,143.86,0.144
user_0560,-37.81449,144.97349,304369,1.108,196.87,0.268
user_0561,-37.808185,144.96883,101381,1.98,175.78,0.171
user_0562,-37.81202,144.957256,135045,1.955,103.87,0.577
user_0563,-37.81623,144.970219,135237,0.81,240.68,0.553
user_0564,-37.819123,144.957923,53003,0.558,132.79,0.4
user_0565,-37.809413,144.966486,134754,0.282,39.4,0.3
user_0566,-37.815375,144.958963,9014611,1.053,119.7,0.464
user_0567,-37.809513,144.970794,461423,1.128,87.32,0.468
user_0568,-37.817028,144.967902,10004167,0.493,253.64,0.544
user_0569,-37.814616,144.954887,135143,0.739,89.43,0.597
user_0570,-37.809827,144.963674,134990,1.158,182.89,0.28
user_0571,-37.812712,144.965897,135253,1.668,97.46,0.504
user_0572,-37.815287,144.968595,303676,1.964,151.51,0.578
user_0573,-37.816917,144.96779,10004167,1.506,177.7,0.116
user_0574,-37.813741,144.971231,302571,1.054,247.73,0.57
user_0575,-37.808748,144.967602,101381,1.597,149.99,0.533
user_0576,-37.810888,144.972441,50226,1.25,47.8,0.477
user_0577,-37.813117,144.962096,9013096,1.316,216.13,0.189
user_0578,-37.812856,144.96893,301240,1.425,12.92,0.669
user_0579,-37.818959,144.961913,306249,0.398,9.75,0.288
user_0580,-37.814448,144.969816,301388,0.473,178.32,0.346
user_0581,-37.8184,144.957,11599,1.595,236.05,0.624
user_0582,-37.817845,144.960307,11601,1.525,20.63,0.183
user_0583,-37.814835,144.966233,135330,0.573,86.59,0.497
user_0584,-37.815743,144.971174,9002262,1.146,83.75,0.204
user_0585,-37.812574,144.963316,134574,1.842,90.92,0.313
user_0586,-37.810192,144.967801,134754,1.59,185.95,0.486
user_0587,-37.813792,144.952933,9026103,1.448,158.13,0.215
user_0588,-37.816153,144.958601,304562,0.644,145.08,0.235
user_0589,-37.81274,144.952882,9026103,1.951,79.7,0.273
user_0590,-37.811811,144.9623,134574,0.573,181.95,0.29
user_0591,-37.813532,144.967208,301383,0.828,239.36,0.577
user_0592,-37.813555,144.970084,302571,0.692,35.59,0.506
user_0593,-37.816877,144.961274,134941,0.883,251.02,0.591
user_0594,-37.811142,144.959346,9009845,1.918,206.96,0.274
user_0595,-37.816217,144.958156,135231,0.718,184.25,0.308
user_0596,-37.812548,144.954264,304366,0.996,69.37,0.387
user_0597,-37.8133,144.971,302571,0.564,140.18,0.66
user_0598,-37.811713,144.962813,134906,1.453,39.46,0.469
user_0599,-37.816562,144.956251,11591,1.256,65.86,0.502
user_0600,-37.811645,144.972708,304368,1.156,165.12,0.131
user_0601,-37.814033,144.957171,135390,0.944,185.06,0.16
user_0602,-37.813314,144.963792,303712,1.587,6.3,0.43
user_0603,-37.818035,144.963037,134554,1.872,107.13,0.661
user_0604,-37.8152,144.964,135009,1.781,124.84,0.22
user_0605,-37.814768,144.970784,134453,1.935,85.61,0.488
user_0606,-37.813143,144.959389,130005,1.834,27.45,0.444
user_0607,-37.812881,144.971618,10003238,1.163,186.5,0.662
user_0608,-37.81476,144.955609,404118,1.844,48.94,0.629
user_0609,-37.816042,144.967263,301645,0.516,235.83,0.698
user_0610,-37.815619,144.963796,301382,0.915,129.34,0.662
user_0611,-37.817653,144.964248,301208,1.932,237.44,0.626
user_0612,-37.813857,144.9662,301383,0.217,147.56,0.164
user_0613,-37.814191,144.965571,135330,1.969,76.42,0.693
user_0614,-37.811156,144.965581,301361,1.178,128.97,0.663
user_0615,-37.811351,144.972887,47316,1.732,122.47,0.216
user_0616,-37.808389,144.969637,101381,0.403,45.79,0.375
user_0617,-37.814048,144.954802,135143,0.663,51.74,0.542
user_0618,-37.815904,144.95707,135306,1.623,147.51,0.554
user_0619,-37.814409,144.963482,304434,0.516,219.89,0.638
user_0620,-37.81136,144.969489,49630,1.689,134.34,0.152
user_0621,-37.816118,144.962037,11571,1.405,51.38,0.184
user_0622,-37.811499,144.972475,304368,0.782,67.26,0.256
user_0623,-37.811583,144.96651,134754,0.624,194.19,0.672
user_0624,-37.814321,144.95371,135143,0.744,186.44,0.107
user_0625,-37.811275,144.965221,301361,1.377,178.88,0.137
user_0626,-37.810821,144.961915,134454,0.413,82.01,0.343
user_0627,-37.808652,144.970224,461423,1.105,229.67,0.522
user_0628,-37.813681,144.963238,303712,0.76,34.47,0.65
user_0629,-37.815013,144.973554,305394,0.731,159.27,0.231
user_0630,-37.819213,144.958844,53003,0.44,43.45,0.549
user_0631,-37.815479,144.968033,303676,1.29,109.38,0.43
user_0632,-37.810007,144.971681,135213,1.047,139.92,0.498
user_0633,-37.81199,144.968646,130439,0.593,67.11,0.553
user_0634,-37.817222,144.957716,135231,1.772,25.55,0.368
user_0635,-37.815779,144.953105,10003027,1.467,24.6,0.439
user_0636,-37.815867,144.962386,101385,0.311,142.46,0.403
user_0637,-37.817911,144.954612,11581,1.231,42.61,0.297
user_0638,-37.8101,144.964,301896,1.137,34.18,0.223
user_0639,-37.811253,144.972885,47316,1.25,27.83,0.406
user_0640,-37.809441,144.965794,301896,1.656,118.81,0.408
user_0641,-37.81474,144.973839,304744,1.022,19.49,0.377
user_0642,-37.813524,144.962328,303712,1.652,186.54,0.338
user_0643,-37.816946,144.953741,11581,1.67,192.2,0.447
user_0644,-37.816215,144.970556,9002262,0.282,91.48,0.138
user_0645,-37.815441,144.969563,44125,1.989,239.58,0.141
user_0646,-37.81914,144.961711,134980,1.881,12.97,0.345
user_0647,-37.818781,144.954828,9009844,1.584,197.22,0.687
user_0648,-37.81385,144.966012,301383,1.363,110.51,0.696
user_0649,-37.817243,144.966625,301645,0.888,223.27,0.644
user_0650,-37.817477,144.959878,304364,0.876,176.37,0.497
user_0651,-37.815349,144.955645,11591,1.171,169.04,0.309
user_0652,-37.807837,144.969603,101381,0.521,139.85,0.417
user_0653,-37.8113,144.967083,134754,1.51,60.9,0.102
user_0654,-37.81886,144.957939,134245,0.241,79.89,0.504
user_0655,-37.819978,144.958169,134872,1.18,138.52,0.594
user_0656,-37.814371,144.95446,135143,0.646,91.89,0.265
user_0657,-37.814289,144.966535,135330,1.887,186.98,0.168
user_0658,-37.80881,144.971729,304060,1.657,110.23,0.56
user_0659,-37.814119,144.955517,135143,1.791,8.93,0.224
user_0660,-37.815246,144.963227,135009,0.382,13.43,0.459
user_0661,-37.815825,144.969547,44125,1.466,17.22,0.544
user_0662,-37.810466,144.969456,9009843,0.924,63.82,0.23
user_0663,-37.814819,144.970164,301388,1.755,19.17,0.402
user_0664,-37.813115,144.957819,135390,0.721,209.76,0.539
user_0665,-37.810458,144.96253,49873,0.774,155.08,0.504
user_0666,-37.811032,144.962352,134454,0.777,80.74,0.186
user_0667,-37.815883,144.964583,301382,1.388,60.48,0.28
user_0668,-37.814219,144.973606,304369,0.31,243.08,0.628
user_0669,-37.811677,144.971533,301393,1.841,162.12,0.356
user_0670,-37.811799,144.957141,135045,1.092,249.04,0.665
user_0671,-37.810638,144.965418,301361,1.408,202.24,0.291
user_0672,-37.814404,144.971109,51576,0.949,42.45,0.326
user_0673,-37.814285,144.951847,10003027,1.558,123.85,0.61
user_0674,-37.810593,144.966719,134754,0.741,182.6,0.583
user_0675,-37.813173,144.960658,134680,1.847,146.16,0.681
user_0676,-37.814009,144.958025,135390,1.203,38.66,0.246
user_0677,-37.813447,144.963467,303712,0.566,167.32,0.653
user_0678,-37.817451,144.958871,134449,1.725,28.21,0.535
user_0679,-37.818142,144.958164,134245,0.543,72.38,0.504
user_0680,-37.813236,144.953544,9026103,1.285,224.28,0.213
user_0681,-37.808913,144.97154,304060,1.571,186.8,0.435
user_0682,-37.814819,144.962009,101385,1.063,223.24,0.3
user_0683,-37.812274,144.961295,9013096,1.923,8.85,0.662
user_0684,-37.8135,144.96,130005,1.932,34.45,0.7
user_0685,-37.811657,144.970676,301393,1.062,65.89,0.463
user_0686,-37.815617,144.973147,305394,0.568,234.7,0.431
user_0687,-37.810438,144.968858,9009843,1.596,100.55,0.42
user_0688,-37.810216,144.966803,134754,0.847,70.65,0.408
user_0689,-37.815503,144.960471,134822,1.095,29.75,0.689
user_0690,-37.819975,144.956613,134872,1.045,215.77,0.649
user_0691,-37.81259,144.968146,134565,0.867,108.9,0.438
user_0692,-37.816557,144.964343,9014989,0.598,41.63,0.256
user_0693,-37.812082,144.962989,134906,1.883,150.36,0.351
user_0694,-37.813811,144.956577,135390,0.474,87.8,0.328
user_0695,-37.81489,144.970537,135237,1.7,130.32,0.493
user_0696,-37.816183,144.970851,9002262,1.433,69.59,0.593
user_0697,-37.808107,144.970744,461423,1.94,166.07,0.394
user_0698,-37.814836,144.95841,9014611,0.503,204.54,0.202
user_0699,-37.814619,144.973433,305394,1.497,127.57,0.65
user_0700,-37.814632,144.964134,51622,1.176,166.09,0.135
user_0701,-37.816813,144.957358,135306,0.261,217.52,0.667
user_0702,-37.810859,144.9644,302517,1.403,196.85,0.347
user_0703,-37.811089,144.968762,130439,1.717,63.09,0.524
user_0704,-37.817403,144.959786,304364,0.216,131.94,0.324
user_0705,-37.812141,144.973247,304368,1.312,172.36,0.47
user_0706,-37.816301,144.970849,9002262,1.07,127.45,0.104
user_0707,-37.813675,144.956611,135390,1.193,7.97,0.418
user_0708,-37.816111,144.954795,9001289,0.695,250.35,0.11
user_0709,-37.812395,144.970247,134317,1.664,174.18,0.584
user_0710,-37.815157,144.957856,9014611,1.838,31.86,0.158
user_0711,-37.814173,144.957938,135390,0.468,53.17,0.416
user_0712,-37.814722,144.954521,135143,1.667,72.1,0.338
user_0713,-37.81338,144.960537,134901,0.871,106.91,0.439
user_0714,-37.813369,144.951745,304365,1.982,61.69,0.51
user_0715,-37.811545,144.971489,301393,1.726,169.09,0.615
user_0716,-37.818494,144.958554,134245,1.567,28.47,0.328
user_0717,-37.815318,144.961863,101385,1.195,19.08,0.106
user_0718,-37.814222,144.96259,303712,0.508,130.46,0.36
user_0719,-37.814478,144.96961,301388,1.612,147.03,0.615
user_0720,-37.816749,144.957956,135231,0.372,137.57,0.126
user_0721,-37.8121,144.961,9013096,0.581,222.9,0.633
user_0722,-37.810277,144.966391,134754,1.056,16.69,0.145
user_0723,-37.808166,144.971206,304060,1.866,230.73,0.438
user_0724,-37.814695,144.956227,11593,0.259,238.12,0.289
user_0725,-37.812498,144.965191,135253,1.931,152.35,0.551
user_0726,-37.816676,144.969497,10004167,1.483,104.97,0.146
user_0727,-37.81426,144.953631,135143,0.492,65.36,0.601
user_0728,-37.814187,144.959677,130005,0.9,230.03,0.299
user_0729,-37.81357,144.966757,301383,1.56,40.13,0.693
user_0730,-37.812155,144.97089,301393,1.503,130.7,0.685
user_0731,-37.816301,144.970581,9002262,0.297,114.71,0.603
user_0732,-37.81501,144.952347,10003027,0.813,198.02,0.673
user_0733,-37.809014,144.969254,101381,0.914,199.16,0.118
user_0734,-37.814611,144.961287,134822,0.692,254.14,0.394
user_0735,-37.814375,144.972383,134360,0.84,241.23,0.359
user_0736,-37.816242,144.969952,135237,1.423,170.83,0.151
user_0737,-37.811271,144.968715,130439,1.314,205.31,0.528
user_0738,-37.811342,144.964958,134329,0.348,43.71,0.527
user_0739,-37.82044,144.955009,304363,1.341,190.65,0.29
user_0740,-37.812666,144.953839,304366,0.392,6.3,0.285
user_0741,-37.812716,144.962915,134574,0.848,72.71,0.18
user_0742,-37.813127,144.953935,135011,0.537,117.66,0.433
user_0743,-37.815045,144.952636,10003027,0.934,11.59,0.312
user_0744,-37.809639,144.968124,101381,0.368,155.11,0.295
user_0745,-37.815905,144.957186,135306,0.893,78.25,0.333
user_0746,-37.817039,144.96359,44101,0.352,231.19,0.643
user_0747,-37.809879,144.968184,101381,1.961,148.56,0.202
user_0748,-37.814903,144.960824,134822,0.885,39.85,0.281
user_0749,-37.816011,144.968256,303676,1.088,20.88,0.361
user_0750,-37.815518,144.960138,206082,0.958,126.54,0.146
user_0751,-37.81921,144.959345,134923,0.653,66.89,0.475
user_0752,-37.814989,144.972312,134453,1.269,54.08,0.164
user_0753,-37.811062,144.959034,9009845,0.748,243.15,0.299
user_0754,-37.807861,144.971469,304060,1.316,206.82,0.298
user_0755,-37.81766,144.954944,11581,0.803,209.68,0.616
user_0756,-37.814323,144.961249,134822,1.954,39.17,0.292
user_0757,-37.812061,144.965567,135253,1.905,55.41,0.289
user_0758,-37.812718,144.963863,135253,1.936,248.15,0.275
user_0759,-37.811158,144.959853,9009845,1.451,128.24,0.446
user_0760,-37.815934,144.955866,11591,0.636,99.39,0.59
user_0761,-37.8158,144.966,134386,0.907,33.59,0.438
user_0762,-37.813849,144.954086,135143,1.266,141.95,0.509
user_0763,-37.814641,144.962697,135009,1.19,244.2,0.377
user_0764,-37.815479,144.967116,301386,1.475,115.05,0.275
user_0765,-37.812439,144.963463,134906,1.447,210.56,0.577
user_0766,-37.81404,144.96064,134822,0.936,130.33,0.48
user_0767,-37.81302,144.965414,51718,0.636,170.32,0.529
user_0768,-37.813702,144.968448,301240,1.62,23.57,0.694
user_0769,-37.816329,144.962591,11571,1.063,105.6,0.404
user_0770,-37.815351,144.957029,11593,1.857,178.62,0.426
user_0771,-37.819588,144.958536,53003,1.623,95.24,0.637
user_0772,-37.819634,144.956128,134547,1.166,165.18,0.151
user_0773,-37.815346,144.95585,11591,1.584,170.06,0.313
user_0774,-37.81377,144.952547,9026103,1.365,16.12,0.69
user_0775,-37.809235,144.965718,301896,1.419,105.3,0.552
user_0776,-37.819657,144.95888,53003,1.938,113.04,0.106
user_0777,-37.815489,144.968487,303676,0.666,133.18,0.411
user_0778,-37.813543,144.962324,303712,1.245,149.38,0.367
user_0779,-37.819004,144.961679,306249,0.904,198.86,0.453
user_0780,-37.808682,144.968441,101381,1.101,91.59,0.115
user_0781,-37.813241,144.959806,130005,0.388,109.41,0.677
user_0782,-37.81279,144.96618,301383,0.409,241.11,0.185
user_0783,-37.813643,144.966114,301383,0.761,119.29,0.224
user_0784,-37.813111,144.971352,302571,1.069,124.52,0.363
user_0785,-37.813043,144.964715,51718,1.454,85.05,0.28
user_0786,-37.81245,144.963484,134906,1.658,33.89,0.61
user_0787,-37.812291,144.958794,303255,1.366,174.96,0.199
user_0788,-37.81001,144.964354,301896,1.971,66.22,0.205
user_0789,-37.817405,144.957499,11579,0.488,145.52,0.675
user_0790,-37.815549,144.967167,301386,0.617,106.67,0.211
user_0791,-37.817691,144.96012,11601,1.353,113.47,0.118
user_0792,-37.815361,144.958965,9014611,1.305,54.53,0.455
user_0793,-37.81235,144.970861,134317,0.9,181.89,0.223
user_0794,-37.814218,144.956719,135390,1.554,207.99,0.138
user_0795,-37.814535,144.973948,304744,0.383,223.87,0.212
user_0796,-37.811682,144.971844,304368,0.787,119.85,0.257
user_0797,-37.8127,144.968,134565,1.753,137.46,0.483
user_0798,-37.815443,144.967019,301386,1.275,158.44,0.452
user_0799,-37.813898,144.970675,302571,0.826,217.22,0.47
user_0800,-37.816927,144.961488,134941,1.665,182.2,0.278
user_0801,-37.815806,144.963227,101385,1.306,26.27,0.18
user_0802,-37.814083,144.956871,135390,0.412,81.65,0.21
user_0803,-37.813523,144.961353,134680,1.448,133.22,0.351
user_0804,-37.813404,144.965885,301383,0.448,101.31,0.211
user_0805,-37.810346,144.964254,301896,1.344,179.05,0.487
user_0806,-37.81493,144.9609,134822,2.0,144.28,0.394
user_0807,-37.813494,144.970338,302571,0.453,83.96,0.371
user_0808,-37.8182,144.957,10004576,0.297,95.12,0.106
user_0809,-37.819946,144.954777,9009844,0.446,209.62,0.678
user_0810,-37.80986,144.968778,101381,1.11,129.24,0.511
user_0811,-37.813049,144.957795,135390,0.948,215.81,0.393
user_0812,-37.815577,144.963441,135009,0.349,12.75,0.557
user_0813,-37.808372,144.9692,101381,0.726,73.99,0.423
user_0814,-37.809588,144.968573,101381,0.503,119.79,0.546
user_0815,-37.8154,144.963,135009,1.579,142.98,0.168
